"","group_Th17","group_Th0","group_iTreg","group_Th2"
"IL9",1.61861410351962,-4.67463678022171,0.716649849769819,-4.43100663294906
"TYMP",0.675509306704343,-1.04057563425231,0.540645996448893,-1.20176101041244
"S100A6",0.629378310490583,-0.677459445343761,0.25577493331798,-0.785064468229232
"S100A11",0.503067942600805,-0.97104643170079,0.627346036182067,-1.05660624509178
"ETS2",0.925675642181828,-0.839360729983858,NA,-0.750506583658956
"DHRS2",0.513799634629967,-0.469301934344885,0.113856764188475,-0.476741389939976
"FLOT1",0.428494465982153,-0.486026566996371,0.299839657283882,-0.711051867135257
"RPS6",-0.348833321638469,0.543599158186927,-0.51518475800154,0.428348613980573
"CALM1",0.374077121207646,-0.510621835787036,0.223369204878654,-0.352713239550559
"JUN",0.555996731470557,-0.752023218022175,0.387208260550674,-0.828967010896602
"VIM",0.608679259077896,-0.842339683025331,0.458218428665216,-1.05237121613081
"RPS27A",-0.272859667570363,0.468206834253406,-0.464270634342338,0.384157297073127
"PLP2",0.387036700382259,-0.607894990543407,0.492729729607637,-0.938873294366903
"RPS29",-0.241394793641993,0.265955347170966,-0.19959017891509,0.271538092700951
"OCIAD2",0.381267018483288,-0.628980637728337,0.388495213121009,-0.583106456695131
"ISG15",0.555239481534265,-1.17234652604626,0.798352198801786,-1.55130711444029
"RPL4",-0.352178241995105,0.494046220060834,-0.49619406029976,0.479868881722991
"EIF4B",-0.422343623503908,0.315655058432101,-0.326910561489355,0.586362570335226
"RPL7",-0.354677133825554,0.618675532908294,-0.585971296059037,0.412174941202418
"RPL5",-0.369861188226859,0.429295404385921,-0.40943524903739,0.481421150871051
"S100A2",0.183657431639629,-0.10796321208681,NA,-0.10057544731495
"RPS24",-0.327276301442724,0.341666171463511,-0.320935657451247,0.439425681928828
"RPS17",-0.296494301254452,0.378276152711272,-0.350134399477377,0.390996106215773
"TIMP1",0.780810526931958,-1.36210275581711,0.566846811074903,-1.12347292757684
"RGCC",0.626935013083407,-0.704111369545816,0.389815508201914,-1.15602561543244
"AC090498.1",-0.3218015153663,NA,0.267012155209332,NA
"RPL15",-0.219086966092547,0.351336313792137,-0.305474251240778,0.271866798948341
"ZNRF1",0.291620264455754,-0.171030146001196,NA,-0.165361978444439
"RPL3",-0.294527463451781,0.539308699398318,-0.528334783953344,0.387774429871947
"RPS27",-0.232838732789061,0.265153342827278,-0.213068076961709,0.281760889940446
"AC092580.4",-0.605071656902068,0.627609324659664,-0.755893843837523,0.838510969919271
"ISG20",0.427331333420214,-0.782516226178858,0.576357446900354,-0.994119602256015
"CTSL",0.696717044024159,-0.973002972472876,0.393928965861358,-0.888299534330824
"TAGLN2",0.355575044405652,-0.419528685910983,0.289484176031668,-0.621580653249574
"RPS28",-0.215147608803166,0.311129171405121,-0.277362118388376,0.285835057378067
"ZBED2",0.546366444417247,-0.517069391451474,0.365591296326685,-1.21395843727138
"RPS8",-0.261788767227349,0.460769996284135,-0.502532146829496,0.430996354236246
"RPS7",-0.23638572843153,0.242940881676534,-0.173245896402793,0.259211707619599
"CXCR4",0.486390144010007,-0.53535942065318,0.32543015255961,-0.848376498587128
"GSTO1",0.420696252772286,-0.679154941881972,0.405744467553441,-0.643604672756176
"SLC25A6",-0.328606736419488,0.399300013430602,-0.42660036240012,0.498568242462504
"IL1R1",0.213467056721958,-0.140595686796102,NA,-0.125083297058491
"TXN",0.420306154963785,-0.446763704940576,0.145461776205999,-0.375333451124221
"TMEM173",0.485524706049205,-0.628255286833288,0.439864315726879,-1.02214896731109
"CST7",-0.43136029126952,0.475608359966055,-0.293583909033071,0.328493579004113
"RPS3A",-0.293490379157086,0.577393652236209,-0.615094105627358,0.438256018246904
"RPL10A",-0.221297541709469,0.351168133368027,-0.335913454566336,0.318334262748897
"RABAC1",0.337038615943668,-0.469159692853649,0.314903315023473,-0.555558109790801
"RPL27A",-0.207221805597978,0.347114859697914,-0.348457211131014,0.323993709732556
